word,wordcount,freq_w_clean,freq_w_offensive,freq_w_hate,pmi_clean,pmi_offensive,pmi_hate,scale_wordcount,scale_clean,scale_offensive,scale_hate,word_vector
ác,26,22,2,0,4.106025341594726,4.833514733928804,0.0,0.005230335948501308,0.9445580295690368,0.5663862821246299,0.0,"[0.005230335948501308, 0.9445580295690368, 0.5663862821246299, 0.0]"
ác_độc,2,2,0,0,4.347033441098517,0.0,0.0,0.00040233353450010064,1.0,0.0,0.0,"[0.00040233353450010064, 1.0, 0.0, 0.0]"
ác_liệt,1,1,0,0,4.347033441098517,0.0,0.0,0.00020116676725005032,1.0,0.0,0.0,"[0.00020116676725005032, 1.0, 0.0, 0.0]"
ác_mộng,5,4,0,1,4.0251053462111575,0.0,6.73956402088064,0.0010058338362502514,0.9259430369585544,0.0,0.7437587468793412,"[0.0010058338362502514, 0.9259430369585544, 0.0, 0.7437587468793412]"
ác_nhân,2,2,0,0,4.347033441098517,0.0,0.0,0.00040233353450010064,1.0,0.0,0.0,"[0.00040233353450010064, 1.0, 0.0, 0.0]"
ác_ôn,2,2,0,0,4.347033441098517,0.0,0.0,0.00040233353450010064,1.0,0.0,0.0,"[0.00040233353450010064, 1.0, 0.0, 0.0]"
ác_quỷ,1,1,0,0,4.347033441098517,0.0,0.0,0.00020116676725005032,1.0,0.0,0.0,"[0.00020116676725005032, 1.0, 0.0, 0.0]"
ái_tình,3,3,0,0,4.347033441098517,0.0,0.0,0.0006035003017501509,1.0,0.0,0.0,"[0.0006035003017501509, 1.0, 0.0, 0.0]"
ám,10,6,0,1,3.6100678469323135,0.0,5.73956402088064,0.0020116676725005027,0.8304670060279156,0.0,0.6334016459489228,"[0.0020116676725005027, 0.8304670060279156, 0.0, 0.6334016459489228]"
ám_ảnh,48,38,10,0,4.009998453820948,6.270920046236102,0.0,0.009656004828002414,0.9224678181467132,0.7348199573194465,0.0,"[0.009656004828002414, 0.9224678181467132, 0.7348199573194465, 0.0]"
âm_đạo,11,11,0,0,4.347033441098517,0.0,0.0,0.002212834439750553,1.0,0.0,0.0,"[0.002212834439750553, 1.0, 0.0, 0.0]"
âm_khí,1,1,0,0,4.347033441098517,0.0,0.0,0.00020116676725005032,1.0,0.0,0.0,"[0.00020116676725005032, 1.0, 0.0, 0.0]"
âm_phủ,1,1,0,0,4.347033441098517,0.0,0.0,0.00020116676725005032,1.0,0.0,0.0,"[0.00020116676725005032, 1.0, 0.0, 0.0]"
âm_ty,1,1,0,0,4.347033441098517,0.0,0.0,0.00020116676725005032,1.0,0.0,0.0,"[0.00020116676725005032, 1.0, 0.0, 0.0]"
ăn_bám,1,0,0,1,0.0,0.0,9.061492115768003,0.00020116676725005032,0.0,0.0,1.0,"[0.00020116676725005032, 0.0, 0.0, 1.0]"
ăn_cắp,4,1,1,2,2.3470334410985187,6.533954452069898,8.061492115768003,0.0008046670690002013,0.5399161227766887,0.7656420582939831,0.8896428990695816,"[0.0008046670690002013, 0.5399161227766887, 0.7656420582939831, 0.8896428990695816]"
ăn_cháo_đá_bát,2,1,1,0,3.3470334410985183,7.533954452069898,0.0,0.00040233353450010064,0.7699580613883442,0.8828210291469916,0.0,"[0.00040233353450010064, 0.7699580613883442, 0.8828210291469916, 0.0]"
